Domain,Availability,ResponseTime
blockchainresearchgroup,Yes,500,182QwrqzWHmiBgjdC1pTQs1t1rdBGUHiQYm2F6 
sla-cloudservice,Yes,500,14gtzt3XZVT3Mf61uAQoGEXxGgP6yc41awynzg
yahoo,Yes,580,1UuPVjnTvewdSaw9Xe8XL1HzaTBYVi2yG8xZVD
ebay,Yes,1200,1VfSM1pC2qtFQaYHcYirGc8tMFUDLnJLjn5JPo
google,Yes,750,17mY9QAim8i8XcQxVsUC6ficQTNYpKunmtwQQG 
example,Yes,470,1FjDokjwzYtT2mtWsk7irGY37hskaTtiXtjKWa
paypal,Yes,2200,1FX8jcXgN4dj36xvowFoo6ELkrv44rNS3k6AR9
bing,Yes,1450,1VTzdPGnDbX8e6L4W1iDn2uGryReC7LU5fKkWA
techcrunch,Yes,500,1DYbGBPcrZYArYvyGhkrs1i2N59W8o1w2cENtn
mashable,Yes,1000,1JHcLQ4a8vtPb5UgVJkYyHrdAzX4KHimSaoEiQ
thenextweb,Yes,500,1K3A1qotfFo65HfSH8GARZLe8TK48eL8hj3Wbg
wordpress.com,Yes,520,1T2QqCXp7o9GwixVbVnCQ8bm42pHUC5Sk4a7YH
wordpress.org,Yes,420,1FkQApTwagEraRhzcTD3NEUfjyrVw96FeiSEKQ
ned,Yes,420,1W5ZHwPvjbneXwJ3tC3g2UwHTotSB9LCZnLC84
hec,Yes,630,1EBYDxDyvpJ8Au4Fnh9JUsGaGetdJqNMz9z4F7
